date,price,traffic
2022-01-01,100.0,11053.0
2022-01-02,100.0,5627.0
2022-01-03,100.0,7575.0
2022-01-04,100.0,8789.0
2022-01-05,100.0,9108.0
2022-01-06,100.0,9993.0
2022-01-07,100.0,14639.0
2022-01-08,100.0,11240.0
2022-01-09,100.0,5588.0
2022-01-10,100.0,7570.0
2022-01-11,100.0,8603.0
2022-01-12,100.0,9092.0
2022-01-13,100.0,9861.0
2022-01-14,100.0,14450.0
2022-01-15,100.0,11141.0
2022-01-16,100.0,5604.0
2022-01-17,100.0,7597.0
2022-01-18,100.0,8690.0
2022-01-19,100.0,9146.0
2022-01-20,100.0,10075.0
2022-01-21,100.0,14472.0
2022-01-22,100.0,11105.0
2022-01-23,100.0,5566.0
2022-01-24,100.0,7735.0
2022-01-25,100.0,8725.0
2022-01-26,100.0,9063.0
2022-01-27,100.0,10078.0
2022-01-28,100.0,14689.0
2022-01-29,100.0,11076.0
2022-01-30,100.0,5639.0
2022-01-31,100.0,7714.0
2022-02-01,100.0,8737.0
2022-02-02,100.0,9227.0
2022-02-03,100.0,10055.0
2022-02-04,100.0,14626.0
2022-02-05,100.0,11260.0
2022-02-06,100.0,5537.0
2022-02-07,100.0,7687.0
2022-02-08,100.0,8765.0
2022-02-09,100.0,9103.0
2022-02-10,100.0,10060.0
2022-02-11,100.0,14453.0
2022-02-12,100.0,11202.0
2022-02-13,100.0,5640.0
2022-02-14,100.0,7637.0
2022-02-15,100.0,8782.0
2022-02-16,100.0,9215.0
2022-02-17,100.0,10118.0
2022-02-18,100.0,14472.0
2022-02-19,100.0,11202.0
2022-02-20,100.0,5655.0
2022-02-21,100.0,7691.0
2022-02-22,100.0,8839.0
2022-02-23,100.0,9233.0
2022-02-24,100.0,9921.0
2022-02-25,100.0,14641.0
2022-02-26,100.0,11050.0
2022-02-27,100.0,5571.0
2022-02-28,100.0,7644.0
2022-03-01,100.0,8654.0
2022-03-02,100.0,9244.0
2022-03-03,100.0,9907.0
2022-03-04,100.0,14554.0
2022-03-05,100.0,11048.0
2022-03-06,100.0,5670.0
2022-03-07,100.0,7608.0
2022-03-08,100.0,8820.0
2022-03-09,100.0,9112.0
2022-03-10,100.0,9999.0
2022-03-11,100.0,14577.0
2022-03-12,100.0,11242.0
2022-03-13,100.0,5604.0
2022-03-14,100.0,7779.0
2022-03-15,100.0,8776.0
2022-03-16,100.0,9198.0
2022-03-17,100.0,9930.0
2022-03-18,100.0,14593.0
2022-03-19,100.0,11072.0
2022-03-20,100.0,5630.0
2022-03-21,100.0,7780.0
2022-03-22,100.0,8812.0
2022-03-23,100.0,9124.0
2022-03-24,100.0,9983.0
2022-03-25,100.0,14719.0
2022-03-26,100.0,11208.0
2022-03-27,100.0,5655.0
2022-03-28,100.0,7634.0
2022-03-29,100.0,8839.0
2022-03-30,100.0,9275.0
2022-03-31,100.0,9955.0
2022-04-01,100.0,14590.0
2022-04-02,100.0,11215.0
2022-04-03,100.0,5623.0
2022-04-04,100.0,7786.0
2022-04-05,100.0,8678.0
2022-04-06,100.0,9207.0
2022-04-07,100.0,9936.0
2022-04-08,100.0,14796.0
2022-04-09,100.0,11355.0
2022-04-10,100.0,5679.0
2022-04-11,100.0,7719.0
2022-04-12,100.0,8723.0
2022-04-13,100.0,9127.0
2022-04-14,100.0,10090.0
2022-04-15,100.0,14793.0
2022-04-16,100.0,11344.0
2022-04-17,100.0,5630.0
2022-04-18,100.0,7691.0
2022-04-19,100.0,8700.0
2022-04-20,100.0,9154.0
2022-04-21,100.0,10092.0
2022-04-22,100.0,14517.0
2022-04-23,100.0,11143.0
2022-04-24,100.0,5693.0
2022-04-25,100.0,7736.0
2022-04-26,100.0,8742.0
2022-04-27,100.0,9273.0
2022-04-28,100.0,10178.0
2022-04-29,100.0,14568.0
2022-04-30,100.0,11239.0
2022-05-01,100.0,5618.0
2022-05-02,100.0,7754.0
2022-05-03,100.0,8859.0
2022-05-04,100.0,9197.0
2022-05-05,100.0,10005.0
2022-05-06,100.0,14715.0
2022-05-07,100.0,11315.0
2022-05-08,100.0,5721.0
2022-05-09,100.0,7655.0
2022-05-10,100.0,8840.0
2022-05-11,100.0,9360.0
2022-05-12,100.0,10128.0
2022-05-13,100.0,14792.0
2022-05-14,100.0,11284.0
2022-05-15,100.0,5672.0
2022-05-16,100.0,7722.0
2022-05-17,100.0,8916.0
2022-05-18,100.0,9315.0
2022-05-19,100.0,10040.0
2022-05-20,100.0,14720.0
2022-05-21,100.0,11213.0
2022-05-22,100.0,5696.0
2022-05-23,100.0,7765.0
2022-05-24,100.0,8741.0
2022-05-25,100.0,9317.0
2022-05-26,100.0,10171.0
2022-05-27,100.0,14828.0
2022-05-28,100.0,11217.0
2022-05-29,100.0,5705.0
2022-05-30,100.0,7792.0
2022-05-31,100.0,8747.0
2022-06-01,150.0,7582.0
2022-06-02,150.0,8133.0
2022-06-03,150.0,11953.0
2022-06-04,150.0,9052.0
2022-06-05,150.0,4477.0
2022-06-06,150.0,6177.0
2022-06-07,150.0,7006.0
2022-06-08,150.0,7419.0
2022-06-09,150.0,8158.0
2022-06-10,150.0,11742.0
2022-06-11,150.0,9121.0
2022-06-12,150.0,4605.0
2022-06-13,150.0,6330.0
2022-06-14,150.0,7319.0
2022-06-15,150.0,7574.0
2022-06-16,150.0,8430.0
2022-06-17,150.0,12469.0
2022-06-18,150.0,9563.0
2022-06-19,150.0,4897.0
2022-06-20,150.0,6794.0
2022-06-21,150.0,7895.0
2022-06-22,150.0,8414.0
2022-06-23,150.0,9189.0
2022-06-24,150.0,13847.0
2022-06-25,150.0,10713.0
2022-06-26,150.0,5506.0
2022-06-27,150.0,7689.0
2022-06-28,150.0,8758.0
2022-06-29,150.0,9336.0
2022-06-30,150.0,10045.0
2022-07-01,150.0,14887.0
2022-07-02,150.0,11237.0
2022-07-03,150.0,5692.0
2022-07-04,150.0,7717.0
2022-07-05,150.0,8860.0
2022-07-06,150.0,9231.0
2022-07-07,150.0,10142.0
2022-07-08,150.0,14805.0
2022-07-09,150.0,11189.0
2022-07-10,150.0,5728.0
2022-07-11,150.0,7856.0
2022-07-12,150.0,8765.0
2022-07-13,150.0,9223.0
2022-07-14,150.0,10076.0
2022-07-15,150.0,14703.0
2022-07-16,150.0,11352.0
2022-07-17,150.0,5676.0
2022-07-18,150.0,7708.0
2022-07-19,150.0,8929.0
2022-07-20,150.0,9230.0
2022-07-21,150.0,10246.0
2022-07-22,150.0,14930.0
2022-07-23,150.0,11396.0
2022-07-24,150.0,5716.0
2022-07-25,150.0,7705.0
2022-07-26,150.0,8958.0
2022-07-27,150.0,9352.0
2022-07-28,150.0,10079.0
2022-07-29,150.0,15000.0
2022-07-30,150.0,11429.0
2022-07-31,150.0,5766.0
2022-08-01,150.0,7728.0
2022-08-02,150.0,8831.0
2022-08-03,150.0,9309.0
2022-08-04,150.0,10248.0
2022-08-05,150.0,14682.0
2022-08-06,150.0,11344.0
2022-08-07,150.0,5677.0
2022-08-08,150.0,7908.0
2022-08-09,150.0,8855.0
2022-08-10,150.0,9410.0
2022-08-11,150.0,10149.0
2022-08-12,150.0,14917.0
2022-08-13,150.0,11303.0
2022-08-14,150.0,5700.0
2022-08-15,150.0,7838.0
2022-08-16,150.0,8855.0
2022-08-17,150.0,9419.0
2022-08-18,150.0,10162.0
2022-08-19,150.0,14849.0
2022-08-20,150.0,11407.0
2022-08-21,150.0,5661.0
2022-08-22,150.0,7860.0
2022-08-23,150.0,8933.0
2022-08-24,150.0,9258.0
2022-08-25,150.0,10167.0
2022-08-26,150.0,14799.0
2022-08-27,150.0,11320.0
2022-08-28,150.0,5734.0
2022-08-29,150.0,7893.0
2022-08-30,150.0,8909.0
2022-08-31,150.0,9387.0
2022-09-01,150.0,10191.0
2022-09-02,150.0,14763.0
2022-09-03,150.0,11293.0
2022-09-04,150.0,5684.0
2022-09-05,150.0,7765.0
2022-09-06,150.0,9000.0
2022-09-07,150.0,9486.0
2022-09-08,150.0,10309.0
2022-09-09,150.0,14751.0
2022-09-10,150.0,11400.0
2022-09-11,150.0,5765.0
2022-09-12,150.0,7794.0
2022-09-13,150.0,8960.0
2022-09-14,150.0,9260.0
2022-09-15,150.0,10327.0
2022-09-16,150.0,14939.0
2022-09-17,150.0,11310.0
2022-09-18,150.0,5804.0
2022-09-19,150.0,7736.0
2022-09-20,150.0,8828.0
2022-09-21,150.0,9390.0
2022-09-22,150.0,10186.0
2022-09-23,150.0,14898.0
2022-09-24,150.0,11401.0
2022-09-25,150.0,5637.0
2022-09-26,150.0,7877.0
2022-09-27,150.0,8903.0
2022-09-28,150.0,9280.0
2022-09-29,150.0,10291.0
2022-09-30,150.0,14981.0
2022-10-01,150.0,11551.0
2022-10-02,150.0,5708.0
2022-10-03,150.0,7824.0
2022-10-04,150.0,8941.0
2022-10-05,150.0,9386.0
2022-10-06,150.0,10174.0
2022-10-07,150.0,14916.0
2022-10-08,150.0,11385.0
2022-10-09,150.0,5747.0
2022-10-10,150.0,7829.0
2022-10-11,150.0,8886.0
2022-10-12,150.0,9328.0
2022-10-13,150.0,10316.0
2022-10-14,150.0,14843.0
2022-10-15,150.0,11440.0
2022-10-16,150.0,5697.0
2022-10-17,150.0,7755.0
2022-10-18,150.0,8998.0
2022-10-19,150.0,9356.0
2022-10-20,150.0,10375.0
2022-10-21,150.0,14923.0
2022-10-22,150.0,11500.0
2022-10-23,150.0,5756.0
2022-10-24,150.0,7804.0
2022-10-25,150.0,8812.0
2022-10-26,150.0,9353.0
2022-10-27,150.0,10131.0
2022-10-28,150.0,15023.0
2022-10-29,150.0,11482.0
2022-10-30,150.0,5690.0
2022-10-31,150.0,7923.0
2022-11-01,150.0,8937.0
2022-11-02,150.0,9356.0
2022-11-03,150.0,10226.0
2022-11-04,150.0,14852.0
2022-11-05,150.0,11403.0
2022-11-06,150.0,5715.0
2022-11-07,150.0,7799.0
2022-11-08,150.0,9115.0
2022-11-09,150.0,9307.0
2022-11-10,150.0,10386.0
2022-11-11,150.0,15109.0
2022-11-12,150.0,11505.0
2022-11-13,150.0,5783.0
2022-11-14,150.0,7884.0
2022-11-15,150.0,8990.0
2022-11-16,150.0,9358.0
2022-11-17,150.0,10409.0
2022-11-18,150.0,15096.0
2022-11-19,150.0,11344.0
2022-11-20,150.0,5834.0
2022-11-21,150.0,7966.0
2022-11-22,150.0,8914.0
2022-11-23,150.0,9414.0
2022-11-24,150.0,10381.0
2022-11-25,150.0,15058.0
2022-11-26,150.0,11317.0
2022-11-27,150.0,5779.0
2022-11-28,150.0,7946.0
2022-11-29,150.0,8989.0
2022-11-30,150.0,9352.0
2022-12-01,150.0,10310.0
2022-12-02,150.0,15102.0
2022-12-03,150.0,11575.0
2022-12-04,150.0,5801.0
2022-12-05,150.0,7921.0
2022-12-06,150.0,8960.0
2022-12-07,150.0,9539.0
2022-12-08,150.0,10456.0
2022-12-09,150.0,14914.0
2022-12-10,150.0,11553.0
2022-12-11,150.0,5830.0
2022-12-12,150.0,7861.0
2022-12-13,150.0,9022.0
2022-12-14,150.0,9500.0
2022-12-15,150.0,10315.0
2022-12-16,150.0,14983.0
2022-12-17,150.0,11325.0
2022-12-18,150.0,5786.0
2022-12-19,150.0,7967.0
2022-12-20,150.0,8962.0
2022-12-21,150.0,9494.0
2022-12-22,150.0,10240.0
2022-12-23,150.0,15139.0
2022-12-24,150.0,11634.0
2022-12-25,150.0,5832.0
2022-12-26,150.0,7895.0
2022-12-27,150.0,9070.0
2022-12-28,150.0,9306.0
2022-12-29,150.0,10469.0
2022-12-30,150.0,14916.0
2022-12-31,150.0,11410.0
2023-01-01,200.0,5049.0
2023-01-02,200.0,6916.0
2023-01-03,200.0,7959.0
2023-01-04,200.0,8300.0
2023-01-05,200.0,8904.0
2023-01-06,200.0,13011.0
2023-01-07,200.0,10083.0
